Date,open,high,low,close,volume
2025-08-05,536.3,536.42,526.37,526.88,19171600
2025-08-06,530.03,530.83,523.17,524.08,21355700
2025-08-07,525.94,527.22,516.7,519.99,16079100
2025-08-08,521.74,523.8,518.56,521.18,15531000
2025-08-11,521.44,526.72,518.87,520.91,20194400
2025-08-12,522.89,530.11,521.84,528.37,18667000
2025-08-13,531.24,531.83,518.52,519.73,19619200
2025-08-14,521.7,525.09,519.29,521.62,20269100
2025-08-15,521.91,525.24,518.23,519.32,25213300
2025-08-18,520.73,521.96,513.18,516.25,23760600
2025-08-19,514.15,514.31,507.72,508.93,21481000
2025-08-20,509.03,510.16,503.61,504.89,27723000
2025-08-21,503.69,507.63,502.72,504.24,18443300
2025-08-22,504.25,510.73,502.41,507.23,24324200
2025-08-25,506.63,508.19,504.12,504.26,21638600
2025-08-26,504.36,504.98,498.51,502.04,30835700
2025-08-27,502.0,507.29,499.9,506.74,17277900
2025-08-28,507.09,511.09,505.5,509.64,18015600
2025-08-29,508.8,509.6,504.49,506.69,20961569
